time,psn,diffPressure,volumePercentage,vacuumTransducerDegreeOne,currentVolume,unit,weight,height,pressure,medium,mediumName,color,tankType,tankTypeName,gpsLongitude,gpsLatitude,gpsAddress,temperature,temperatureOne,temperatureTwo,temperatureThree,electricityPercentage,currentVoltage,batteryCapacity,currentCapacity,currentChargingCurrent,illuminationIntensity,standardVolumeTotal,standardFlow,workingFlow,flowTemperature,flowPressure,duration,x,y,Tanker_Code,Lic_Number,ID
2023-02-20 10:24:09,2021121390001,0.013,86.28,0.0,14.045,m³,11376.0,1359,0.098,2,LIN,#590707,1,卧式,120.49064009003199,31.217333306586657,江苏省苏州市吴中区S58(沪常高速),4283,-110,-76,149,100,4.27,3000,3000,4,29288,1012.0,0.0,0.0,-73.0,0.0,0,120.484221,31.210978,52Q057,沪EF6102,263665973347917824
2023-02-20 10:23:15,2021121390001,0.012,82.99,0.0,13.51,m³,10943.0,1305,0.098,2,LIN,#590707,1,卧式,120.48468262606039,31.225564745959208,江苏省苏州市吴中区S58(沪常高速),4282,-113,-79,149,100,4.27,3000,3000,4,29288,1012.0,0.0,0.0,-76.0,0.0,0,120.478259,31.219201,52Q057,沪EF6102,263665973347917824
2023-02-20 10:18:13,2021121390001,0.012,77.89,0.0,12.679,m³,10269.0,1227,0.098,2,LIN,#590707,1,卧式,120.47490523815824,31.23560340581777,江苏省苏州市吴中区子胥快速路,4277,-133,-99,149,100,4.27,3000,3000,4,29288,1012.0,0.0,0.0,-99.0,0.0,0,120.468463,31.229302,52Q057,沪EF6102,263665973347917824
2023-02-20 10:13:09,2021121390001,0.012,79.19,0.0,12.892,m³,10442.0,1247,0.143,2,LIN,#590707,1,卧式,120.47187104607522,31.253036583430454,江苏省苏州市吴中区茅蓬路899号,4272,-163,-125,149,100,4.27,3000,3000,4,0,0.0,0.0,0.0,0.0,0.0,0,120.465426,31.246773,52Q057,沪EF6102,263665973347917824
2023-02-20 10:08:09,2021121390001,0.012,84.11,0.0,13.692,m³,11090.0,1323,0.244,2,LIN,#590707,1,卧式,120.47123565710815,31.25247156429352,江苏省苏州市吴中区茅蓬路,4267,-167,-160,149,100,4.27,3000,3000,4,29288,1012.0,0.0,0.0,-171.0,0.0,0,120.464788,31.246216,52Q057,沪EF6102,263665973347917824
2023-02-20 10:03:09,2021121390001,0.013,85.4,0.0,13.902,m³,11260.0,1344,0.23,2,LIN,#590707,1,卧式,120.47117997549428,31.25246673894818,江苏省苏州市吴中区茅蓬路,4262,-166,-170,149,100,4.27,3000,3000,4,29288,636.0,98.0,0.0,-172.0,0.0,0,120.464733,31.246212,52Q057,沪EF6102,263665973347917824
2023-02-20 09:58:09,2021121390001,0.013,89.44,0.0,14.56,m³,11793.0,1414,0.268,2,LIN,#590707,1,卧式,120.47119592852498,31.25246098931379,江苏省苏州市吴中区茅蓬路,4257,-162,-166,149,100,4.27,3000,3000,4,29288,163.0,89.0,0.0,-171.0,0.0,0,120.464749,31.246206,52Q057,沪EF6102,263665973347917824
2023-02-20 09:53:09,2021121390001,0.014,92.17,0.0,15.005,m³,12154.0,1466,0.259,2,LIN,#590707,1,卧式,120.47120376762452,31.25246109594467,江苏省苏州市吴中区茅蓬路,4252,-153,-151,149,100,4.27,3000,3000,4,29288,318.0,0.0,0.0,-169.0,0.0,0,120.464756,31.246206,52Q057,沪EF6102,263665973347917824
2023-02-20 09:48:09,2021121390001,0.014,93.97,0.0,15.298,m³,12391.0,1503,0.28,2,LIN,#590707,1,卧式,120.47121187849766,31.252459307710314,江苏省苏州市吴中区茅蓬路,4247,-80,-123,149,100,4.27,3000,3000,4,29288,83.0,66.0,0.0,-168.0,0.0,0,120.464765,31.246204,52Q057,沪EF6102,263665973347917824
2023-02-20 09:44:13,2021121390001,0.014,94.34,0.0,15.358,m³,12439.0,1511,0.282,2,LIN,#590707,1,卧式,120.47121187849766,31.252459307710314,江苏省苏州市吴中区茅蓬路,4243,-20,-21,149,100,4.27,3000,3000,4,29288,0.0,0.0,0.0,-67.0,0.0,0,120.464765,31.246204,52Q057,沪EF6102,263665973347917824
